DISTRICT_NAME,TIME,RAINFALL
Baghpat,2020-04-16,0.0
Baghpat,2020-04-17,0.0
Baghpat,2020-04-18,0.0
Baghpat,2020-04-19,6.319805383682251
Baghpat,2020-04-20,0.0
Baghpat,2020-04-21,0.0
Baghpat,2020-04-22,0.0
Baghpat,2020-04-23,0.0
Baghpat,2020-04-24,0.0
Baghpat,2020-04-25,0.0
Baghpat,2020-04-26,0.0
Baghpat,2020-04-27,0.7972208857536316
Baghpat,2020-04-28,0.0
Baghpat,2020-04-29,0.0
Baghpat,2020-04-30,0.0
Baghpat,2020-05-01,0.0
Baghpat,2020-05-02,0.0
Baghpat,2020-05-03,0.07489202916622162
Baghpat,2020-05-04,2.913448452949524
Baghpat,2020-05-05,0.0
Baghpat,2020-05-06,0.0
Baghpat,2020-05-07,1.5669497847557068
Baghpat,2020-05-08,0.0
Baghpat,2020-05-09,0.0
Baghpat,2020-05-10,0.0
Baghpat,2020-05-11,7.97651731967926
Baghpat,2020-05-12,0.0
Baghpat,2020-05-13,0.0
Baghpat,2020-05-14,0.0
Baghpat,2020-05-15,4.1561689376831055
Baghpat,2020-05-16,0.0
Baghpat,2020-05-17,0.0
Baghpat,2020-05-18,0.0
Baghpat,2020-05-19,0.0
Baghpat,2020-05-20,0.0
Baghpat,2020-05-21,0.0
Baghpat,2020-05-22,0.0
Baghpat,2020-05-23,0.0
Baghpat,2020-05-24,0.0
Baghpat,2020-05-25,0.0
Baghpat,2020-05-26,0.0
Baghpat,2020-05-27,0.0
Baghpat,2020-05-28,0.0
Baghpat,2020-05-29,19.753692150115967
Baghpat,2020-05-30,0.08425352722406387
Baghpat,2020-05-31,20.403622150421143
Baghpat,2020-06-01,8.14070749282837
Baghpat,2020-06-02,5.987790584564209
Baghpat,2020-06-03,0.0
Baghpat,2020-06-04,0.0
Baghpat,2020-06-05,0.3330732733011246
Baghpat,2020-06-06,0.0
Baghpat,2020-06-07,0.0
Baghpat,2020-06-08,1.5835279524326324
Baghpat,2020-06-09,0.0
Baghpat,2020-06-10,0.0
Baghpat,2020-06-11,0.0
Baghpat,2020-06-12,0.0
Baghpat,2020-06-13,0.0
Baghpat,2020-06-14,0.0
Baghpat,2020-06-15,0.0
Baghpat,2020-06-16,0.0
Baghpat,2020-06-17,0.0
Baghpat,2020-06-18,0.0
Baghpat,2020-06-19,0.0
Baghpat,2020-06-20,0.0
Baghpat,2020-06-21,4.0437570214271545
Baghpat,2020-06-22,2.7782909870147705
Baghpat,2020-06-23,0.0
Baghpat,2020-06-24,0.14754659682512283
Baghpat,2020-06-25,0.36330071091651917
Baghpat,2020-06-26,0.0
Baghpat,2020-06-27,0.0
Baghpat,2020-06-28,0.0
Baghpat,2020-06-29,0.0
Baghpat,2020-06-30,1.6414084136486053
Baghpat,2020-07-01,0.0
Baghpat,2020-07-02,0.0
Baghpat,2020-07-03,0.0
Baghpat,2020-07-04,0.6076812744140625
Baghpat,2020-07-05,22.253729820251465
Baghpat,2020-07-06,0.0
Baghpat,2020-07-07,0.0
Baghpat,2020-07-08,0.05148827284574509
Baghpat,2020-07-09,0.3485230803489685
Baghpat,2020-07-10,1.2502788305282593
Baghpat,2020-07-11,28.38003158569336
Baghpat,2020-07-12,6.2213358879089355
Baghpat,2020-07-13,0.0
Baghpat,2020-07-14,0.0
Baghpat,2020-07-15,0.0
Baghpat,2020-07-16,0.28936778008937836
Baghpat,2020-07-17,0.0
Baghpat,2020-07-18,34.38788604736328
Baghpat,2020-07-19,3.35737943649292
Baghpat,2020-07-20,2.33489853143692
Baghpat,2020-07-21,18.26961612701416
Baghpat,2020-07-22,14.175245761871338
Baghpat,2020-07-23,1.4381486177444458
Baghpat,2020-07-24,0.29509319365024567
Baghpat,2020-07-25,0.0
Baghpat,2020-07-26,0.0
Baghpat,2020-07-27,0.9361503720283508
Baghpat,2020-07-28,0.0
Baghpat,2020-07-29,3.9295049607753754
Baghpat,2020-07-30,15.62152647972107
Baghpat,2020-07-31,2.936460793018341
Baghpat,2020-08-01,2.932383954524994
Baghpat,2020-08-02,3.9382870197296143
Baghpat,2020-08-03,0.0
Baghpat,2020-08-04,0.0
Baghpat,2020-08-05,0.0
Baghpat,2020-08-06,1.9351767301559448
Baghpat,2020-08-07,1.4121729135513306
Baghpat,2020-08-08,0.0
