State,State Code,District Code,Sub District Code,Level,Area_Name,Type,Number of villages,Unnamed: 7,Number of towns,Number of households,Population,Unnamed: 11,Unnamed: 12,Area_sq_km,Pop_Density,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85
Haryana,6.0,83.0,409.0,SUB-DISTRICT,Jhajjar,Rural,97,4,0,"39,301",208862.0,"1,10,998","97,864",570.06,366.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,6.0,83.0,409.0,SUB-DISTRICT,Jhajjar,Total,97,4,2,"48,705",258595.0,"1,37,346","1,21,249",610.36,424.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,6.0,83.0,409.0,SUB-DISTRICT,Jhajjar,Urban,0,0,2,"9,404",49733.0,"26,348","23,385",40.3,1234.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,6.0,77.0,383.0,SUB-DISTRICT,Jind,Rural,96,2,0,"57,758",309202.0,"1,65,870","1,43,332",775.35,399.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,6.0,77.0,383.0,SUB-DISTRICT,Jind,Total,96,2,1,"90,518",476794.0,"2,55,123","2,21,671",817.35,583.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,6.0,77.0,383.0,SUB-DISTRICT,Jind,Urban,0,0,1,"32,760",167592.0,"89,253","78,339",42.0,3990.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,6.0,74.0,372.0,SUB-DISTRICT,Karnal,Rural,130,11,0,"73,853",385828.0,"2,05,154","1,80,674",790.26,488.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,6.0,74.0,372.0,SUB-DISTRICT,Karnal,Total,130,11,3,"1,42,301",714328.0,"3,79,036","3,35,292",830.39,860.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,6.0,74.0,372.0,SUB-DISTRICT,Karnal,Urban,0,0,3,"68,448",328500.0,"1,73,882","1,54,618",40.13,8186.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,6.0,84.0,411.0,SUB-DISTRICT,Mahendragarh,Rural,149,0,0,"69,316",362264.0,"1,90,767","1,71,497",963.7,376.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
