DISTRICT_NAME,State,AQI,YEAR,MONTH,TIME,TIME_ISO,DISTRICT_NAME_clean
Hapur,UttarPradesh,,2018,8,2018-08-01,2018-08-01T00:00:00,hapur
Jhajjar,Haryana,,2018,8,2018-08-01,2018-08-01T00:00:00,jhajjar
Jind,Haryana,,2018,8,2018-08-01,2018-08-01T00:00:00,jind
Mahendragarh,Haryana,,2018,8,2018-08-01,2018-08-01T00:00:00,mahendragarh
Meerut,UttarPradesh,,2018,8,2018-08-01,2018-08-01T00:00:00,meerut
Muzaffarnagar,UttarPradesh,96.67,2018,8,2018-08-01,2018-08-01T00:00:00,muzaffarnagar
New Delhi,NCTofDelhi,98.77,2018,8,2018-08-01,2018-08-01T00:00:00,new delhi
North Delhi,NCTofDelhi,101.35,2018,8,2018-08-01,2018-08-01T00:00:00,north delhi
North East Delhi,NCTofDelhi,101.06,2018,8,2018-08-01,2018-08-01T00:00:00,north east delhi
North West Delhi,NCTofDelhi,118.18,2018,8,2018-08-01,2018-08-01T00:00:00,north west delhi
Nuh,Haryana,,2018,8,2018-08-01,2018-08-01T00:00:00,nuh
Palwal,Haryana,,2018,8,2018-08-01,2018-08-01T00:00:00,palwal
Panipat,Haryana,,2018,8,2018-08-01,2018-08-01T00:00:00,panipat
Rewari,Haryana,,2018,8,2018-08-01,2018-08-01T00:00:00,rewari
Rohtak,Haryana,88.83,2018,8,2018-08-01,2018-08-01T00:00:00,rohtak
Shahdara,NCTofDelhi,114.12,2018,8,2018-08-01,2018-08-01T00:00:00,shahdara
Shamli,UttarPradesh,,2018,8,2018-08-01,2018-08-01T00:00:00,shamli
Sonipat,Haryana,,2018,8,2018-08-01,2018-08-01T00:00:00,sonipat
South Delhi,NCTofDelhi,111.57,2018,8,2018-08-01,2018-08-01T00:00:00,south delhi
South East Delhi,NCTofDelhi,122.99,2018,8,2018-08-01,2018-08-01T00:00:00,south east delhi
South West Delhi,NCTofDelhi,114.68,2018,8,2018-08-01,2018-08-01T00:00:00,south west delhi
West,NCTofDelhi,111.39,2018,8,2018-08-01,2018-08-01T00:00:00,west delhi
West Delhi,NCTofDelhi,117.74,2018,8,2018-08-01,2018-08-01T00:00:00,west delhi
Alwar,Rajasthan,62.83,2018,9,2018-09-01,2018-09-01T00:00:00,alwar
Baghpat,UttarPradesh,99.57,2018,9,2018-09-01,2018-09-01T00:00:00,baghpat
Bharatpur,Rajasthan,,2018,9,2018-09-01,2018-09-01T00:00:00,bharatpur
Bhiwani,Haryana,,2018,9,2018-09-01,2018-09-01T00:00:00,bhiwani
Bulandshahr,UttarPradesh,138.31,2018,9,2018-09-01,2018-09-01T00:00:00,bulandshahr
East Delhi,NCTofDelhi,98.03,2018,9,2018-09-01,2018-09-01T00:00:00,east delhi
Faridabad,Haryana,125.69,2018,9,2018-09-01,2018-09-01T00:00:00,faridabad
Gautam Buddha Nagar,UttarPradesh,129.07,2018,9,2018-09-01,2018-09-01T00:00:00,gautam buddha nagar
Ghaziabad,UttarPradesh,127.1,2018,9,2018-09-01,2018-09-01T00:00:00,ghaziabad
Gurugram,Haryana,131.29,2018,9,2018-09-01,2018-09-01T00:00:00,gurugram
Hapur,UttarPradesh,,2018,9,2018-09-01,2018-09-01T00:00:00,hapur
Jhajjar,Haryana,,2018,9,2018-09-01,2018-09-01T00:00:00,jhajjar
Jind,Haryana,,2018,9,2018-09-01,2018-09-01T00:00:00,jind
Mahendragarh,Haryana,,2018,9,2018-09-01,2018-09-01T00:00:00,mahendragarh
Meerut,UttarPradesh,,2018,9,2018-09-01,2018-09-01T00:00:00,meerut
Muzaffarnagar,UttarPradesh,109.57,2018,9,2018-09-01,2018-09-01T00:00:00,muzaffarnagar
New Delhi,NCTofDelhi,91.16,2018,9,2018-09-01,2018-09-01T00:00:00,new delhi
North Delhi,NCTofDelhi,99.22,2018,9,2018-09-01,2018-09-01T00:00:00,north delhi
North East Delhi,NCTofDelhi,93.04,2018,9,2018-09-01,2018-09-01T00:00:00,north east delhi
North West Delhi,NCTofDelhi,120.45,2018,9,2018-09-01,2018-09-01T00:00:00,north west delhi
Nuh,Haryana,,2018,9,2018-09-01,2018-09-01T00:00:00,nuh
Palwal,Haryana,,2018,9,2018-09-01,2018-09-01T00:00:00,palwal
Panipat,Haryana,,2018,9,2018-09-01,2018-09-01T00:00:00,panipat
Rewari,Haryana,,2018,9,2018-09-01,2018-09-01T00:00:00,rewari
Rohtak,Haryana,120.97,2018,9,2018-09-01,2018-09-01T00:00:00,rohtak
Shahdara,NCTofDelhi,140.72,2018,9,2018-09-01,2018-09-01T00:00:00,shahdara
Shamli,UttarPradesh,,2018,9,2018-09-01,2018-09-01T00:00:00,shamli
Sonipat,Haryana,,2018,9,2018-09-01,2018-09-01T00:00:00,sonipat
South Delhi,NCTofDelhi,98.57,2018,9,2018-09-01,2018-09-01T00:00:00,south delhi
South East Delhi,NCTofDelhi,121.63,2018,9,2018-09-01,2018-09-01T00:00:00,south east delhi
South West Delhi,NCTofDelhi,113.45,2018,9,2018-09-01,2018-09-01T00:00:00,south west delhi
West,NCTofDelhi,111.63,2018,9,2018-09-01,2018-09-01T00:00:00,west delhi
