id,date,state_name,state_code,district_name,district_code,station_name,latitude,longitude,basin,sub_basin,source,currentlevel,level_diff
191482,2014-01-04,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector-92 Pz,28.52,77.39,Ganga,Yamuna Upper,CGWB,10.58,0.3
191483,2014-05-14,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector-92 Pz,28.52,77.39,Ganga,Yamuna Upper,CGWB,10.38,-0.2
191484,2014-08-24,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector-92 Pz,28.52,77.39,Ganga,Yamuna Upper,CGWB,10.0,-0.38
191485,2014-11-04,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector-92 Pz,28.52,77.39,Ganga,Yamuna Upper,CGWB,10.34,0.34
191486,2015-01-04,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector-92 Pz,28.52,77.39,Ganga,Yamuna Upper,CGWB,10.52,0.18
191487,2015-05-14,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector-92 Pz,28.52,77.39,Ganga,Yamuna Upper,CGWB,8.35,-2.17
191488,2015-08-24,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector-92 Pz,28.52,77.39,Ganga,Yamuna Upper,CGWB,11.04,2.69
191489,2016-08-24,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector-92 Pz,28.52,77.39,Ganga,Yamuna Upper,CGWB,11.85,0.81
191490,2016-11-04,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector-92 Pz,28.52,77.39,Ganga,Yamuna Upper,CGWB,11.92,0.07
191491,2017-01-04,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector-92 Pz,28.52,77.39,Ganga,Yamuna Upper,CGWB,12.16,0.24
191492,2017-05-14,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector-92 Pz,28.52,77.39,Ganga,Yamuna Upper,CGWB,11.9,-0.26
191493,2017-08-24,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector-92 Pz,28.52,77.39,Ganga,Yamuna Upper,CGWB,11.74,-0.16
191494,2017-11-04,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector-92 Pz,28.52,77.39,Ganga,Yamuna Upper,CGWB,12.16,0.42
191495,2018-01-29,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector-92 Pz,28.52,77.39,Ganga,Yamuna Upper,CGWB,12.2,0.04
191496,2018-05-30,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector-92 Pz,28.52,77.39,Ganga,Yamuna Upper,CGWB,12.99,0.79
191497,2018-11-29,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector-92 Pz,28.52,77.39,Ganga,Yamuna Upper,CGWB,13.12,0.13
191498,2019-01-30,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector-92 Pz,28.52,77.39,Ganga,Yamuna Upper,CGWB,13.5,0.38
191499,2019-05-30,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector-92 Pz,28.52,77.39,Ganga,Yamuna Upper,CGWB,14.07,0.57
191500,2019-08-30,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector-92 Pz,28.52,77.39,Ganga,Yamuna Upper,CGWB,14.87,0.8
